SenMayo,FRIDMAN,CellAge,GO
ACVR1B,ALDH1A3,AAK1,TERF2
ANG,AOPEP,ABI3,CDK2
ANGPT1,CCN2,ACLY,NEK6
ANGPTL4,CCND1,ADCK5,MAP2K3
AREG,CD44,AKT1,H2AFX
AXL,CDKN1A,ALOX15B,B2M
BEX3,CDKN1C,ARPC1B,MAPK10
BMP2,CDKN2A,ATM,BCL6
BMP6,CDKN2B,AXL,MAPKAPK5
C3,CDKN2D,BCL6,VASH1
CCL1,CITED2,BHLHE40,NEK4
CCL13,CLTB,BLK,KIR2DL4
CCL16,COL1A2,BRAF,TP53
CCL2,CREG1,CBX8,HRAS
CCL20,CRYAB,CCND1,PRKCD
CCL24,CXCL14,CDK18,YPEL3
CCL26,CYP1B1,CDK4,NSMCE2
CCL3,EIF2S2,CDK6,ZNF277
CCL3L1,ESM1,CDKN1A,OPA1
CCL4,F3,CDKN1B,ECRG4
CCL5,FILIP1L,CDKN1C,SLC30A10
CCL7,FN1,CDKN2A,MAPK14
CCL8,GSN,CDKN2AIP,ZKSCAN3
CD55,GUK1,CDKN2B,LMNA
CD9,HBS1L,CHEK1,PRMT6
CSF1,HPS5,CKB,NUAK1
CSF2,HSPA2,CXCL1,SPI1
CSF2RB,HTATIP2,CXCL8,PAWR
CST4,IFI16,CYR61,MAP2K4
CTNNB1,IFNG,DDB2,MAPK9
CTSB,IGFBP1,DEK,MAPK8
CXCL1,IGFBP2,DLX2,WRN
CXCL10,IGFBP3,DPY30,TERT
CXCL12,IGFBP4,E2F1,MAP2K7
CXCL16,IGFBP5,EHF,BMPR1A
CXCL2,IGFBP6,ERRFI1,IGF1R
CXCL3,IGFBP7,ETS1,PNPT1
CXCL8,IGSF3,ETS2,SRF
CXCR2,ING1,EWSR1,CDK6
DKK1,IRF5,FASTK,CGAS
EDN1,IRF7,FBXO31,PLK2
EGF,ISG15,FOS,MAGEA2B
EGFR,MAP1LC3B,G6PD,MAGEA2
EREG,MAP2K3,GKN1,KAT6A
ESM1,MDM2,GRK6,MAP3K5
ETS2,MMP1,HDAC1,NPM1
FAS,NDN,HEPACAM,MAPK11
FGF1,NME2,HK3,RSL1D1
FGF2,NRG1,HRAS,MAP3K3
FGF7,OPTN,ID1,MAP2K1
GDF15,PEA15,ID4,RBL1
GEM,RAB13,IFNG,TBX3
GMFG,RAB31,IGFBP1,CDKN1B
HGF,RAB5B,IL1A,ATM
HMGB1,RABGGTA,ING1,ARNTL
ICAM1,RAC1,IRF3,SMC5
ICAM3,RBL2,IRF5,CDKN1A
IGF1,RGL2,IRF7,KAT5
IGFBP1,RHOB,ITPK1,PLA2R1
IGFBP2,RRAS,ITPKB,SMC6
IGFBP3,S100A11,KCNJ12,TBX2
IGFBP4,SERPINB2,LIMK1,ULK3
IGFBP5,SERPINE1,MAGEA2,ID2
IGFBP6,SMPD1,MAP2K1,HMGA1
IGFBP7,SMURF2,MAP2K2,FBXO5
IL10,SOD1,MAP2K6,WNT16
IL13,SPARC,MAP2K7,TWIST1
IL15,STAT1,MAP3K6,YBX1
IL18,TES,MAP3K7,AKT3
IL1A,TFAP2A,MAPK12,CDKN2B
IL1B,TGFB1I1,MAPK14,CDKN2A
IL2,THBS1,MAPKAPK5,ABI3
IL32,TNFAIP2,MAST1,HMGA2
IL6,TNFAIP3,MATK,CALR
IL6ST,TP53,MCRS1,ING2
IL7,TSPYL5,MOB3A,ZMPSTE24
INHA,VIM,MORC3,MAP2K6
IQGAP2,,MORF4,SIRT1
ITGA2,,MVK,EEF1E1
ITPKA,,MXD4,ABL1
JUN,,MYC,PML
KITLG,,NADK,ARG2
LCP1,,NANOG,HLA-G
MIF,,NEK6,
MMP1,,NFE2L2,
MMP10,,NINJ1,
MMP12,,OTX2,
MMP13,,PAK4,
MMP14,,PDCD10,
MMP2,,PDIK1L,
MMP3,,PDPK1,
MMP9,,PDZD2,
NAP1L4,,PEX19,
NRG1,,PIAS4,
PAPPA,,PIK3R5,
PECAM1,,PKM,
PGF,,PML,
PIGF,,PMVK,
PLAT,,PNPT1,
PLAU,,POU5F1,
PLAUR,,PPM1D,
PTBP1,,PROX1,
PTGER2,,PRPF19,
PTGES,,PSMB5,
RPS6KA5,,PTTG1,
SCAMP4,,RAF1,
SELPLG,,RBP2,
SEMA3F,,RUNX1,
SERPINB4,,SFN,
SERPINE1,,SGK1,
SERPINE2,,SIK1,
SPP1,,SIRT1,
SPX,,SLC13A3,
TIMP2,,SMARCB1,
TNF,,SMURF2,
TNFRSF10C,,SORBS2,
TNFRSF11B,,SOX2,
TNFRSF1A,,SOX5,
TNFRSF1B,,SP1,
TUBGCP2,,SPIN1,
VEGFA,,SRC,
VEGFC,,SREBF1,
VGF,,SRSF1,
WNT16,,STAT5B,
WNT2,,STK32C,
,,STK40,
,,SUPT5H,
,,SYK,
,,TACC3,
,,TERF2,
,,TERT,
,,TFAP4,
,,TLR3,
,,TMSB4X,
,,TOP1,
,,TP53,
,,TP63,
,,TRIM28,
,,TYK2,
,,UBTD1,
,,VEGFA,
,,WT1,
,,ZFP36,
,,ZNF148,
